apk_name,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,android.permission.GET_ACCOUNTS,android.permission.USE_CREDENTIALS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.VIBRATE,android.permission.FOREGROUND_SERVICE,android.permission.USE_FULL_SCREEN_INTENT,com.google.android.c2dm.permission.RECEIVE,android.permission.CAMERA,android.permission.READ_CONTACTS,android.permission.READ_PROFILE,android.permission.ACCESS_FINE_LOCATION,android.permission.RECORD_AUDIO,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_MEDIA_LOCATION,android.permission.READ_PHONE_STATE,com.android.launcher.permission.INSTALL_SHORTCUT,com.android.launcher.permission.UNINSTALL_SHORTCUT,com.instagram.direct.permission.PROTECTED_DEEPLINKING,com.instagram.direct.permission.DIRECT_APP_THREAD_STORE_SERVICE,com.htc.launcher.permission.READ_SETTINGS,com.htc.launcher.permission.UPDATE_SHORTCUT,com.huawei.android.launcher.permission.CHANGE_BADGE,com.sonyericsson.home.permission.BROADCAST_BADGE,android.permission.USE_BIOMETRIC,android.permission.USE_FINGERPRINT,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,.permission.RECEIVE_ADM_MESSAGE,com.amazon.device.messaging.permission.RECEIVE
Instagram_v173.0.0.39.120_apkpure.com,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
iBooks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
