apk_name,navigator.getBattery,navigator.camera,device,navigator.notification,cordova.file,navigator.geolocation,cordova.InAppBrowser,Media,navigator.device.capture,navigator.connection,screen.orientation,navigator.splashscreen,StatusBar,navigator.vibrate
com.iChemLabs.ChemDoodleMobile,0,1,2,19,0,1,0,3,1,1,0,1,0,0
de.kashban.android.kakerlake,0,0,58,1,0,0,0,95,0,0,0,0,0,0
com.greenbuildingapp.gba,0,1,23,2,0,5,0,8,1,2,0,1,0,0
net.klier.blutdruck,0,1,4,1,0,1,0,94,1,2,0,1,0,0
hotspotshield.android.vpn,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.critalsoft.eazywallet,0,1,2,2,0,1,0,2,1,2,0,1,0,0
org.dinamisglobe.mobileapp,0,4,1,3,0,1,0,87,0,0,0,0,0,0
com.phonegap.mobmarket,0,1,7,2,0,1,0,63,2,0,0,0,0,0
com.phonegap.clearpoint,0,1,1,1,0,1,0,94,1,1,0,1,0,0
com.mobileteck.lovevoucher,0,1,8,2,0,2,0,3,1,3,0,1,0,0
com.infocus.vionnow,0,0,1,0,0,0,0,1,0,0,0,0,0,0
korean.fashion.molinomobile,0,0,47,0,0,0,0,87,0,0,0,0,0,0
com.groundroad.aucru,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.meshtek.top20sportscars,0,4,1,3,0,8,0,46,0,0,0,0,0,0
org.UniApp.UoR,0,6,1,2,0,8,0,64,2,0,0,0,0,0
com.amoedo.calculadora,0,1,1,2,0,1,0,3,1,2,0,1,0,0
com.Play2Learn.PhoneGap,0,6,2,1,0,4,0,1,2,1,0,1,0,0
com.ignite.adscal,0,6,50,2,0,8,0,64,2,0,0,0,0,0
com.dadadish.Matriwish,0,1,53,1,0,4,0,90,1,1,0,0,0,0
com.twist.android,0,4,1,15,0,3,0,94,1,2,0,1,0,0
com.tuliorocha,0,1,8,2,0,1,0,3,1,2,0,1,0,0
us.broadleaf.mobile.android.mt.play,0,1,58,2,0,1,0,94,1,2,0,1,0,0
kz.ps.app,0,1,4,2,0,1,0,94,1,1,0,1,0,0
com.iv.perfectchristianquotes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.zope.zebrareach,0,0,0,0,0,0,0,0,0,0,0,0,0,0
