apk_name,battery-status,camera,contacts,device,dialogs,file,geolocation,globalization,inappbrowser,media,media-capture,network-information,splashscreen,statusbar,vibration
89,5,1,2,1,2,1,2,1,0,2,1,2,1,0,0
9,5,0,0,13,0,7,0,0,0,2,0,1,0,0,0
90,6,6,4,1,1,5,1,0,0,2,2,0,2,0,0
92,5,0,0,1,0,7,2,0,0,2,0,0,0,0,0
94,5,0,0,1,6,1,2,0,0,2,0,1,1,0,0
95,5,0,0,47,0,7,0,0,0,2,0,0,0,0,0
96,5,0,0,1,0,7,0,0,0,2,0,1,0,0,0
97,5,0,0,2,1,7,0,0,0,2,0,0,0,0,0
98,5,0,2,8,2,7,0,0,0,2,0,1,0,0,0
99,5,0,0,47,3,7,0,0,0,2,0,0,0,0,0
Almariah Cinema,5,1,1,63,2,8,1,1,0,2,1,2,1,0,0
Animal Puzzles_1.8,0,0,0,1,4,0,0,0,0,0,0,0,1,0,1
Apothekerbank_1.2,5,1,1,1,2,8,1,1,0,2,1,2,1,0,0
Ärztebanking_2.0.0,0,0,0,1,0,0,0,0,1,0,0,1,1,15,0
BLBV3Mobile,5,1,1,1,2,8,7,1,0,2,1,2,1,0,0
Bau Magazine_1.3.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bechlwirt_1.1,5,1,1,58,2,8,1,1,0,2,1,2,1,0,0
BorusanPortMobile_1.1,0,0,0,1,0,0,7,0,0,0,0,0,1,0,0
Camping Corones_0.1,0,1,0,24,3,5,0,0,0,0,0,1,0,0,0
Camping Mals_0.0.24,0,1,0,24,3,5,0,0,0,0,0,1,0,0,0
DeliciousXiamen,5,6,0,96,0,7,2,0,0,2,0,0,0,0,0
Dinosaur Puzzles_1.8,0,0,0,1,4,0,0,0,0,0,0,0,1,0,1
Dukagjini Player_1.2,4,1,1,19,2,5,1,1,0,2,1,2,1,2,0
EBTR_1.2.171,5,1,0,2,4,8,0,0,0,2,0,1,1,0,0
Eggalmbahnen_1.1,5,1,1,58,2,8,1,1,0,2,1,2,1,0,0
Erlebnishotel Engel_1.1,5,1,1,58,2,8,1,1,0,2,1,2,1,0,0
Erlebnishotel Waltershof_0.0.41,0,1,0,24,3,5,0,0,0,0,0,1,0,0,0
Erlebnishotel Waltershof_0.0.41(1),0,1,0,24,3,5,0,0,0,0,0,1,0,0,0
Fergusons And Canterbury Toyota_4.0.0,5,1,1,1,2,1,2,0,1,2,1,2,1,0,0
