apk_name,battery-status,camera,contacts,device,dialogs,file,geolocation,globalization,inappbrowser,media,media-capture,network-information,splashscreen,statusbar,vibration
net.klier.blutdruck,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.critalsoft.eazywallet,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0
org.dinamisglobe.mobileapp,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
com.phonegap.mobmarket,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.phonegap.clearpoint,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.mobileteck.lovevoucher,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
com.infocus.vionnow,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
korean.fashion.molinomobile,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
org.meshtek.top20sportscars,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0
org.UniApp.UoR,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
com.amoedo.calculadora,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.Play2Learn.PhoneGap,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
com.ignite.adscal,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.dadadish.Matriwish,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
com.twist.android,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
com.tuliorocha,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
us.broadleaf.mobile.android.mt.play,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
kz.ps.app,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
com.iv.perfectchristianquotes,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
com.pixeldolphingame.tapandfield,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.yoyo.lgc.android,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
br.com.rommel.point,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
ca.cultureplex.drglearning,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
sworkitapp.sworkit.com,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
au.edu.swsi.tafeswsi,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
org.meshtek.quotetime,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
br.com.tippz,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
com.sourcefuse.foodietogo,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
br.com.petrim.supercalculadora,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1
com.audero.free.utility.currencyconverter,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.aitrich.roadrescue,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.wooinvi.xoso,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
com.mybusinesscatalog.demo,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.cittaininternet.spelloturismo,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
com.netscribe.BuildACareer,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
com.cywheel.IDoubtIt_en,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
com.sinaapp.SAEtt4s,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
com.myapartmentmap.MyApartmentMap,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.programmerworld.HRInterviewQuestionsLite,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
nl.nn.kijkoppensioen,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
com.feudfraudINT,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.close2u,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
com.Verbier,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
com.webloxion.byolife_streets_app,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
ch.creisi.cppairsfree,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.runemartin.bartebuss,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
com.phonegap.bizzdesk,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
